BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
2008327,43229,05/08/2024,Accident,Material Failure (Fell),0,1,1550,INWOOD AVENUE,Bronx,2859,30,10452,40.844082,-73.916359,204,16,2028590030,209,BX0403
4047331,43406,06/20/2024,Incident,Other Construction Related,0,0,98-17,HORACE HARDING EXPRESSWAY,Queens,1918,95,11368,40.73552,-73.860392,404,21,4019180095,455,QN0402
3429397,43677,08/27/2024,Notification,Worker Fell,0,1,705,FRANKLIN AVENUE,Brooklyn,1231,1,11238,40.674468,-73.956584,308,35,3012310001,221,BK0802
4047330,43233,05/08/2024,Accident,Worker Fell,0,1,98-25,HORACE HARDING EXPRESSWAY,Queens,1918,90,11368,40.735687,-73.859814,404,21,4019180090,455,QN0402
1091783,43246,05/10/2024,Accident,Worker Fell,0,1,133,EAST 55 STREET,Manhattan,1310,14,10022,40.75973,-73.970303,105,04,1013100014,100,MN0604
1089192,42797,02/07/2024,Accident,Mechanical Construction Equipment,0,1,3875,9 AVENUE,Manhattan,2188,1,10034,40.86403,-73.916804,112,10,1021880001,299,MN1203
3045807,42882,02/27/2024,Incident,Other Construction Related,0,0,654,JEFFERSON AVENUE,Brooklyn,1656,17,11221,40.685418,-73.93142,303,36,3016560017,295,BK0302
1061356,43567,07/30/2024,Accident,Worker Fell,0,1,410,WEST 126 STREET,Manhattan,2060,40,10027,40.812239,-73.954005,109,07,1019660077,20901,MN0901
1091635,42783,02/02/2024,Accident,Worker Fell,0,1,600,WEST 125 STREET,Manhattan,1995,26,10027,40.815974,-73.958569,109,07,1019950026,211,MN0901
1034211,43291,05/24/2024,Accident,Worker Fell,0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,04,1012590035,96,MN0502
3007353,43006,03/23/2024,Accident,Worker Fell,0,1,499,PRESIDENT STREET,Brooklyn,440,47,11215,40.678027,-73.986657,306,39,3004400001,11901,BK0601
3192734,43606,08/08/2024,Accident,Worker Fell,0,1,2102,EAST 1 STREET,Brooklyn,7127,9,11223,40.59705,-73.970523,315,44,3071270009,396,BK1501
3000370,42795,02/06/2024,Accident,Other Construction Related,0,1,9,DE KALB AVENUE,Brooklyn,149,100,11201,40.689985,-73.98254,302,33,3001497503,1502,BK0202
2805203,42775,02/01/2024,Accident,Mechanical Construction Equipment,0,1,101,EAST 150 STREET,Bronx,2354,1,10451,40.820236,-73.929612,204,08,,6301,BX0401
3173506,43108,04/11/2024,Incident,Other Construction Related,0,0,1597,MCDONALD AVENUE,Brooklyn,6583,1,11230,40.613915,-73.973963,312,44,3065830001,440,BK1204
3429585,43838,10/15/2024,Notification,Other Construction Related,0,1,420,CARROLL STREET,Brooklyn,453,1,11215,40.677917,-73.988488,306,39,3004530001,11901,BK0601
1038655,42703,01/15/2024,Accident,Mechanical Construction Equipment,0,1,25,TUDOR CITY PLACE,Manhattan,1334,22,10017,40.748545,-73.970799,106,04,1013340022,88,MN0603
3429272,43264,05/17/2024,Incident,Material Failure (Fell),0,0,18,INDIA STREET,Brooklyn,2538,1,11222,40.731774,-73.9604,301,33,3025380001,565,BK0101
3029709,42966,03/14/2024,Accident,Material Failure (Fell),0,1,931,CARROLL STREET,Brooklyn,1188,58,11225,40.668183,-73.959685,309,35,3011880058,213,BK0901
2129483,43757,09/19/2024,Incident,Mechanical Construction Equipment,0,0,2680,MORRIS AVENUE,Bronx,3316,11,10468,40.867472,-73.895959,207,14,2033160011,40304,BX0702
2000140,43763,09/20/2024,Accident,Worker Fell,0,1,91,BRUCKNER BOULEVARD,Bronx,2278,1,10454,40.805639,-73.924596,201,08,2022780001,1902,BX0101
3000605,43664,08/23/2024,Accident,Other Construction Related,0,1,275,ATLANTIC AVENUE,Brooklyn,175,1,11201,40.688896,-73.989969,302,33,3001750001,43,BK0202
1091789,43493,07/10/2024,Accident,Worker Fell,0,1,648,WEST 48 STREET,Manhattan,1095,11,10036,40.765045,-73.996552,104,03,1010950011,12902,MN0402
3017393,43621,08/12/2024,Incident,Other Construction Related,0,0,292,20 STREET,Brooklyn,891,34,11215,40.660872,-73.991137,307,39,3008910034,145,BK0702
3106599,43363,06/10/2024,Incident,Excavation/Soil Work,0,0,532,ALBANY AVENUE,Brooklyn,4794,26,11203,40.661886,-73.93994,309,40,3047940026,806,BK0902
2023709,42716,01/18/2024,Accident,Worker Fell,0,1,1120,Bronx River Avenue,Bronx,3735,12,10472,40.825987,-73.883399,209,17,2037350012,52,BX0901
4136569,42698,01/14/2024,Incident,Scaffold/Shoring Installations,0,0,36-43,BELL BOULEVARD,Queens,6176,47,11361,40.767766,-73.773147,411,19,4061760047,1123,QN1102
3251678,42789,02/05/2024,Accident,Material Failure (Fell),0,1,490,KENT AVENUE,Brooklyn,2134,1,11249,40.70697,-73.968397,301,33,3021340001,547,BK0102
3345008,43393,06/18/2024,Accident,Other Construction Related,0,1,201,SCHOLES STREET,Brooklyn,3027,1,11206,40.708995,-73.94129,301,34,3030270001,49301,BK0104
1085735,43500,07/11/2024,Accident,Other Construction Related,0,1,200,PARK AVENUE,Manhattan,1280,9010,10017,40.754162,-73.976557,105,04,1012809010,92,MN0604
2130688,43558,07/26/2024,Incident,Mechanical Construction Equipment,0,0,2060,BARTOW AVENUE,Bronx,5141,1085,10475,40.86948,-73.828246,210,12,2051411085,46205,BX1004
1064218,43173,04/23/2024,Accident,Other Construction Related,0,1,4650,BROADWAY,Manhattan,2175,1,10040,40.862326,-73.929553,112,10,1021750001,287,MN1202
3006610,42903,03/02/2024,Incident,Mechanical Construction Equipment,0,0,251,DOUGLAS STREET,Brooklyn,412,50,11217,40.680708,-73.985308,306,39,3004120050,127,BK0601
3071075,42909,03/04/2024,Incident,Other Construction Related,0,0,59,MONTROSE AVENUE,Brooklyn,3050,36,11206,40.706918,-73.947578,301,34,3030500036,511,BK0104
2003157,43171,04/22/2024,Incident,Worker Fell,0,1,1182,WOODYCREST AVENUE,Bronx,2510,3,10452,40.836723,-73.924835,204,16,2025100003,199,BX0402
3054191,42917,03/06/2024,Incident,Excavation/Soil Work,0,0,67,TAAFFE PLACE,Brooklyn,1883,7,11205,40.69691,-73.960735,303,33,3018830007,1237,BK0301
3255576,42973,03/17/2024,Incident,Other Construction Related,0,0,4024,12 AVENUE,Brooklyn,5588,45,11218,40.641217,-73.989266,312,39,3055880045,224,BK1202
4620885,43183,04/26/2024,Accident,Worker Fell,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
1038656,43252,05/13/2024,Incident,Scaffold/Shoring Installations,0,0,320,EAST 42 STREET,Manhattan,1334,41,10017,40.749514,-73.971481,106,04,1013340041,88,MN0603
1087587,43415,06/22/2024,Notification,Other Construction Related,0,1,711,12 AVENUE,Manhattan,1109,101,10019,40.767496,-73.996267,104,03,1011090101,13501,MN0402
1083026,43827,10/11/2024,Accident,Mechanical Construction Equipment,0,1,2,PENN PLAZA,Manhattan,781,2,10121,40.750017,-73.991345,105,03,1007810002,101,MN0501
1054026,42652,01/04/2024,Accident,Worker Fell,0,1,2023,5 AVENUE,Manhattan,1750,1,10035,40.806511,-73.942179,111,09,1017500001,198,MN1102
